nombre,url,url_oai,tipo,divulgador
Calls,http://revistes.iec.cat/index.php/calls/index,http://revistes.iec.cat/index.php/calls/index/oai,Revista,Instituto de Estudios Catalanes
Catalan Historical Review,http://revistes.iec.cat/index.php/CHR/index,http://revistes.iec.cat/index.php/CHR/index/oai,Revista,Instituto de Estudios Catalanes
Catalan Social Sciences Review,http://revistes.iec.cat/index.php/CSSr/index,http://revistes.iec.cat/index.php/CSSr/index/oai,Revista,Instituto de Estudios Catalanes
"Ciència, 2a època",http://revistes.iec.cat/index.php/CIENCIA2/index,http://revistes.iec.cat/index.php/CIENCIA2/index/oai,Revista,Instituto de Estudios Catalanes
"Ciència, revista catalana de ciència i tecnologia",http://revistes.iec.cat/index.php/ciencia/index,http://revistes.iec.cat/index.php/ciencia/index/oai,Revista,Instituto de Estudios Catalanes
"Comunicació, Revista de recerca i d'anàlisi ",http://revistes.iec.cat/index.php/TC/index,http://revistes.iec.cat/index.php/TC/index/oai,Revista,Instituto de Estudios Catalanes
Contributions to Science,http://revistes.iec.cat/index.php/CtS/index,http://revistes.iec.cat/index.php/CtS/index/oai,Revista,Instituto de Estudios Catalanes
Dossiers Agraris,http://revistes.iec.cat/index.php/DA/index,http://revistes.iec.cat/index.php/DA/index/oai,Revista,Instituto de Estudios Catalanes
"Educació i Història, Revista d'Història de l'Educació",http://revistes.iec.cat/index.php/EduH/index,http://revistes.iec.cat/index.php/EduH/index/oai,Revista,Instituto de Estudios Catalanes
Educació Química,http://revistes.iec.cat/index.php/EduQ/index,http://revistes.iec.cat/index.php/EduQ/index/oai,Revista,Instituto de Estudios Catalanes
Estudis Romànics,http://revistes.iec.cat/index.php/ER/index,http://revistes.iec.cat/index.php/ER/index/oai,Revista,Instituto de Estudios Catalanes
Gazeta,http://revistes.iec.cat/index.php/gazeta/index,http://revistes.iec.cat/index.php/gazeta/index/oai,Revista,Instituto de Estudios Catalanes
Instituto de Fisiologia,http://revistes.iec.cat/index.php/IF/index,http://revistes.iec.cat/index.php/IF/index/oai,Revista,Instituto de Estudios Catalanes
International Microbiology,http://revistes.iec.cat/index.php/IM/index,http://revistes.iec.cat/index.php/IM/index/oai,Revista,Instituto de Estudios Catalanes
"Ítaca, Quaderns Catalans de Cultura Clàssica",http://revistes.iec.cat/index.php/ITACA/index,http://revistes.iec.cat/index.php/ITACA/index/oai,Revista,Instituto de Estudios Catalanes
"Lectora, revista de dones i textualitat",http://revistes.iec.cat/index.php/lectora/index,http://revistes.iec.cat/index.php/lectora/index/oai,Revista,Instituto de Estudios Catalanes
Llengua & Literatura,http://revistes.iec.cat/index.php/LLiL/index,http://revistes.iec.cat/index.php/LliL/index/oai,Revista,Instituto de Estudios Catalanes
Medicina Física,http://revistes.iec.cat/index.php/medfis/index,http://revistes.iec.cat/index.php/medfis/index/oai,Revista,Instituto de Estudios Catalanes
Mètode,http://revistes.iec.cat/index.php/Metode/index,http://revistes.iec.cat/index.php/Metode/index/oai,Revista,Instituto de Estudios Catalanes
Miscel·lània Litúrgica Catalana,http://revistes.iec.cat/index.php/MLC/index,http://revistes.iec.cat/index.php/MLC/index/oai,Revista,Instituto de Estudios Catalanes
Nou Biaix,http://revistes.iec.cat/index.php/noubiaix/index,http://revistes.iec.cat/index.php/noubiaix/index/oai,Revista,Instituto de Estudios Catalanes
Omnis Cellula,http://revistes.iec.cat/index.php/OC/index,http://revistes.iec.cat/index.php/OC/index/oai,Revista,Instituto de Estudios Catalanes
Periodística,http://revistes.iec.cat/index.php/periodistica/index,http://revistes.iec.cat/index.php/periodistica/index/oai,Revista,Instituto de Estudios Catalanes
Quaderns Agraris,http://revistes.iec.cat/index.php/QA/index,http://revistes.iec.cat/index.php/QA/index/oai,Revista,Instituto de Estudios Catalanes
Recursos de Física,http://revistes.iec.cat/index.php/RF/index,http://revistes.iec.cat/index.php/RF/index/oai,Revista,Instituto de Estudios Catalanes
Reports de la Societat Catalana de Matemàtiques,http://revistes.iec.cat/index.php/reports/index,http://revistes.iec.cat/index.php/reports/index/oai,Revista,Instituto de Estudios Catalanes
Revista Catalana de Dret Privat,http://revistes.iec.cat/index.php/RCDP/index,http://revistes.iec.cat/index.php/RCDP/index/oai,Revista,Instituto de Estudios Catalanes
Revista Catalana de Micologia,http://revistes.iec.cat/index.php/RCMic/index,http://revistes.iec.cat/index.php/RCMic/index/oai,Revista,Instituto de Estudios Catalanes
Revista Catalana de Musicologia,http://revistes.iec.cat/index.php/RCMus/index,http://revistes.iec.cat/index.php/RCMus/index/oai,Revista,Instituto de Estudios Catalanes
Revista Catalana de Pedagogia,http://revistes.iec.cat/index.php/RCP/index,http://revistes.iec.cat/index.php/RCP/index/oai,Revista,Instituto de Estudios Catalanes
Revista Catalana de Sociologia,http://revistes.iec.cat/index.php/RCS/index,http://revistes.iec.cat/index.php/RCS/index/oai,Revista,Instituto de Estudios Catalanes
Revista de Dret Històric Català,http://revistes.iec.cat/index.php/RDHC/index,http://revistes.iec.cat/index.php/RDHC/index/oai,Revista,Instituto de Estudios Catalanes
Revista de Física,http://revistes.iec.cat/index.php/RdF/index,http://revistes.iec.cat/index.php/RdF/index/oai,Revista,Instituto de Estudios Catalanes
Revista de la Societat Catalana de Química,http://revistes.iec.cat/index.php/RSCQ/index,http://revistes.iec.cat/index.php/RSCQ/index/oai,Revista,Instituto de Estudios Catalanes
Revista de l'Alguer,http://revistes.iec.cat/index.php/RdA/index,http://revistes.iec.cat/index.php/RdA/index/oai,Revista,Instituto de Estudios Catalanes
Revista de Sanidad de Guerra,http://revistes.iec.cat/index.php/rsg/index,http://revistes.iec.cat/index.php/rsg/index/oai,Revista,Instituto de Estudios Catalanes
Revista de Tecnologia,http://revistes.iec.cat/index.php/RTEC/index,http://revistes.iec.cat/index.php/RTEC/index/oai,Revista,Instituto de Estudios Catalanes
Revista d'Història de la Filosofia Catalana,http://revistes.iec.cat/index.php/JOCIH/index,http://revistes.iec.cat/index.php/JOCIH/index/oai,Revista,Instituto de Estudios Catalanes
